,Dallas Mavericks,Denver Nuggets,Golden State Warriors,Houston Rockets,LA Clippers,Los Angeles Lakers,Memphis Grizzlies,Minnesota Timberwolves,New Orleans Pelicans,Oklahoma City Thunder,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Utah Jazz
Atlanta Hawks,"16,320","965,070","175,175","414,942","16,320","23,385","26,185","16,320","18,695","16,320","16,320","16,320","16,320","1,107,400","16,320"
Boston Celtics,0,"2,700","158,855","122,980",0,"7,065","9,865",0,"2,375",0,0,0,0,"1,758,952",0
Brooklyn Nets,"68,100","308,775","226,955","175,900","68,100","75,165","77,965","68,100","70,475","68,100","68,100","68,100","68,100","498,153","68,100"
Charlotte Hornets,0,"246,938","158,855","107,800",0,"7,065","9,865",0,"2,375",0,"131,512",0,0,"430,053",0
Chicago Bulls,0,"2,700","158,855","107,800",0,"7,065","9,865",0,"2,375",0,0,0,0,"430,053",0
Cleveland Cavaliers,0,"2,700","158,855","107,800",0,"7,065","9,865",0,"2,375",0,0,0,0,"1,622,297",0
Detroit Pistons,0,"2,700","158,855","107,800",0,"7,065","9,865",0,"2,375",0,0,0,0,"430,053",0
Indiana Pacers,0,"2,700","158,855","107,800",0,"7,065","9,865",0,"2,375",0,0,0,0,"430,053",0
Miami Heat,0,"2,700","158,855","107,800",0,"7,065","9,865",0,"2,375",0,0,0,0,"1,450,153",0
Milwaukee Bucks,"52,520","68,720","211,375","265,900","52,520","59,585","85,065","52,520","54,895","52,520","52,520","52,520","52,520","1,504,461","52,520"
New York Knicks,"2,400","5,100","161,255","110,200","2,400","9,465","12,265","2,400","4,775","2,400","2,400","2,400","2,400","1,581,699","2,400"
Orlando Magic,"1,160","3,860","160,015","108,960","1,160","8,225","11,025","1,160","3,535","1,160","1,160","1,160","1,160","1,205,556","1,160"
Philadelphia 76ers,"14,000","16,700","172,855","285,600","14,000","21,065","73,265","119,820","16,375","14,000","14,000","14,000","14,000","540,399","14,000"
Toronto Raptors,0,"2,700","158,855","107,800",0,"7,065","9,865",0,"2,375",0,0,0,0,"430,053",0
Washington Wizards,0,"2,700","158,855","107,800",0,"7,065","9,865",0,"2,375",0,0,0,0,"430,053",0
